Id,Article ,ProductName,Price,Quantity ,Description ,Manufacturer ,Colour,Hashtags
20,916176,Мобильный телефон Apple iPhone 7 32GB,"27 720,0",2,"Высококлассный смартфон от Apple, представитель десятого по счёт поколения «айфонов», представленного в 2016 году. Впрочем, конкретно эта модель является самой скромной из «семёрок» — она не только относится к младшей линейке, имеющей 4,7"" экраны, но ещё и несёт всего 32 ГБ встроенной памяти — очень немного по сравнению с остальными вариантами. «Сердцем» смартфона Apple iPhone 7 стал процессор Fusion A10 с 4 ядрами (2+2), благодаря которому заявлен рост производительности в 2 раза по сравнению с шестой моделью. Металлический корпус получил пылевлагозащиту по стандарту IP67 и пять вариантов расцветки (однако в «специальном» красном цвете, RED, данная модель не выпускается). Разрешение дисплея осталось прежним — 1334х750; а вот яркость и насыщенность заметно выросли. Продвинутая основная камера на 12 Мп получила оптическую стабилизацию и четырёхцветную вспышку True Tone, а возможностей аппарата хватает для фотосъёмки прямо в процессе записи 4K-видео. При всём этом автономность составила 12 ч в режиме Интернет-серфинга. А вот от порта 3.5 мм производитель отказался — пользователю доступен только Lightning. 
",Apple,розовый,#Apple #розовый #Премиум
21,916176,Мобильный телефон Apple iPhone 7 32GB,"27 720,0",11,"Высококлассный смартфон от Apple, представитель десятого по счёт поколения «айфонов», представленного в 2016 году. Впрочем, конкретно эта модель является самой скромной из «семёрок» — она не только относится к младшей линейке, имеющей 4,7"" экраны, но ещё и несёт всего 32 ГБ встроенной памяти — очень немного по сравнению с остальными вариантами. «Сердцем» смартфона Apple iPhone 7 стал процессор Fusion A10 с 4 ядрами (2+2), благодаря которому заявлен рост производительности в 2 раза по сравнению с шестой моделью. Металлический корпус получил пылевлагозащиту по стандарту IP67 и пять вариантов расцветки (однако в «специальном» красном цвете, RED, данная модель не выпускается). Разрешение дисплея осталось прежним — 1334х750; а вот яркость и насыщенность заметно выросли. Продвинутая основная камера на 12 Мп получила оптическую стабилизацию и четырёхцветную вспышку True Tone, а возможностей аппарата хватает для фотосъёмки прямо в процессе записи 4K-видео. При всём этом автономность составила 12 ч в режиме Интернет-серфинга. А вот от порта 3.5 мм производитель отказался — пользователю доступен только Lightning. 
",Apple,серебристый,#Apple #серебристый #Премиум
22,916176,Мобильный телефон Apple iPhone 7 32GB,"27 720,0",15,"Высококлассный смартфон от Apple, представитель десятого по счёт поколения «айфонов», представленного в 2016 году. Впрочем, конкретно эта модель является самой скромной из «семёрок» — она не только относится к младшей линейке, имеющей 4,7"" экраны, но ещё и несёт всего 32 ГБ встроенной памяти — очень немного по сравнению с остальными вариантами. «Сердцем» смартфона Apple iPhone 7 стал процессор Fusion A10 с 4 ядрами (2+2), благодаря которому заявлен рост производительности в 2 раза по сравнению с шестой моделью. Металлический корпус получил пылевлагозащиту по стандарту IP67 и пять вариантов расцветки (однако в «специальном» красном цвете, RED, данная модель не выпускается). Разрешение дисплея осталось прежним — 1334х750; а вот яркость и насыщенность заметно выросли. Продвинутая основная камера на 12 Мп получила оптическую стабилизацию и четырёхцветную вспышку True Tone, а возможностей аппарата хватает для фотосъёмки прямо в процессе записи 4K-видео. При всём этом автономность составила 12 ч в режиме Интернет-серфинга. А вот от порта 3.5 мм производитель отказался — пользователю доступен только Lightning. 
",Apple,черный,#Apple #черный #Премиум
23,1078250,Мобильный телефон Samsung Galaxy S8,"38973,0",8,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,пурпурный,#Samsung #пурпурный #Премиум
24,1078250,Мобильный телефон Samsung Galaxy S8,"39 037,9",12,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,золотистый,#Samsung #золотистый #Премиум
25,1078250,Мобильный телефон Samsung Galaxy S8,"51 579,0",8,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,красный,#Samsung #красный #Премиум
26,1078250,Мобильный телефон Samsung Galaxy S8,"37 895,0",6,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,серебристый,#Samsung #серебристый #Премиум
27,1078250,Мобильный телефон Samsung Galaxy S8,"39 257,9",12,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,фиолетовый,#Samsung #фиолетовый #Премиум
28,1078250,Мобильный телефон Samsung Galaxy S8,"38 973,0",15,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,черный,#Samsung #черный #Премиум
29,1078250,Мобильный телефон Samsung Galaxy S8,"42 130,0",3,"Высококлассный смартфон от корейского производителя, флагманская модель, пришедшая на смену Galaxy S7 весной 2017 года. Впрочем, корректнее будет сравнивать аппарат всё же с S7 Edge: дисплей нового смартфона тоже загибается за края передней панели. При этом даже внешние отличия от предшественника весьма заметные. Так, дисплей в смартфоне Samsung Galaxy S8 увеличился до 5,8"", а его разрешение — до 2960х1440. Все кнопки на передней панели теперь встроены в экран, сканер отпечатка пальца установлен на металлической задней панели. Корпус защищён от пыли и влаги (IP68). Внутри корпуса работает чип Exynos 8895 с 8 ядрами (4+4) и 4 ГБ оперативной памяти; встроенный накопитель вмещает 64 ГБ, а вместо второй «симки» можно установить карту памяти. Камер, по сути, три — основная на 12 Мп (такая же, как в S7, но с улучшенной программной частью), фронтальная на 8 Мп и фронтальная служебная для разблокировки по лицу или радужке глаза. Из коммуникаций стоит отдельно упомянуть Bluetooth 5.0, с поддержкой сразу 2 пар беспроводных наушников, и беспроводную зарядку.",Samsung,синий,#Samsung #синий #Премиум
